athlete,HANDS,LOWER_ARMS,UPPER_ARMS,UPPER_TRUNK,MIDDLE_TRUNK,LOWER_TRUNK,PELVIS,HEAD,R_THIGH,R_SHANK,R_FOOT,L_THIGH,L_SHANK,L_FOOT,total_mass
1,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
2,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
3,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
4,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
5,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
6,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
7,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
8,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
9,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
10,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
11,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
12,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
13,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
14,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
15,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
16,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
17,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
